,model,price,spec_score,processor,core_threads,ram,ssd,graphics,display,os,extra_info
0,Lenovo V15 ITL G2 82KBA033IH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,921",62,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
1,HP Pavilion 15-ec2004AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹56,150",66,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
2,Lenovo V15 82KBA03HIH Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹35,499",66,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
3,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),"₹48,990",66,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,"16 inches, 1200 x 1920 pixels",Windows 11 OS,1 Year Warranty
4,HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹52,990",63,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
5,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),"₹56,700",73,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
6,Infinix Zero Book Ultra Laptop (12th Gen Core i9/ 16GB/ 512 SSD/ Win 11 Home),"₹87,620",65,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,Backlit Keyboard
7,HP 15s-eq1559AU Laptop (AMD Athlon Silver 3050U/ 8GB/ 512GB/ Win11),"₹29,212",57,3rd Gen AMD Athlon Silver 3050U,"Dual Core, 2 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
8,Dell Inspiron 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹44,087",61,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
9,Dell Inspiron 3511 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹38,800",59,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.56 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
10,Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹65,990",68,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",16 GB DDR4  RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
11,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),"₹83,900",47,Apple M1,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty
12,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹46,790",60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
13,HP 15s-fq5111TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹58,530",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
14,Dell Inspiron 3520 D560871WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹57,223",55,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
15,Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop (AMD Ryzen 5 4600H/ 8GB / 512GB SSD/ Win11 Home / 4GB Graph),"₹49,990",69,4th Gen AMD Ryzen 5 4600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
16,HP 15s-er1501AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11 Home),"₹28,490",57,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
17,HP Victus 15-fb0040AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,800",72,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
18,Realme Book Slim Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹49,990",61,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB LPDDR4x  RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1440 x 2160 pixels",Windows 10 OS,1 Year Warranty
19,Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹53,990",67,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7 Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
20,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB/ MacOS),"₹1,07,990",48,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,8-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
21,Asus VivoBook 14 X415JA-BV301WS Laptop (10th Gen Core i3/ 8GB/ 1TB HDD/ Win11),"₹29,890",51,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
22,HP 15s-fq2717TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹41,900",56,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
23,Lenovo V15 ‎82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹38,480",60,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
24,Lenovo V15 82KDA00XIH Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹38,489",55,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
25,Lenovo E41-55 82FJ00AGIH Laptop (Athlon Gold 3150U/ 4GB/ 256GB SSD/ DOS),"₹18,990",41,AMD Athlon  3150U,"Dual Core, 4 Threads",4 GB DDR4 RAM,256 GB SSD,AMD Radeon RADEON,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
26,Asus VivoBook 15 X1500EA-EJ322WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹35,978",41,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4  RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
27,HP Victus 15-fa0165TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,990",73,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
28,HP 15s-FR2511TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹40,880",60,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
29,Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop (AMD Ryzen 5 4600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,990",67,4th Gen AMD Ryzen 5  4600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"17.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
30,HP Pavilion 15-eg2009TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹62,990",62,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
31,HP 15s- eq2212AU Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",59,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
32,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11),"₹57,990",53,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
33,HP 245 G8 62G68PA Laptop (AMD Ryzen 3  3250U/ 8GB/ 1TB HDD/ Win11 Home),"₹27,890",59,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
34,Acer One 14 Z2-493 Laptop (AMD Ryzen 3 3250U/ 4GB/ 256GB SSD/ Win11),"₹20,990",50,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",4 GB DDR4 RAM,256 GB SSD,AMD Radeon Radeon Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
35,Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹64,990",74,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
36,Dell Inspiron 5320 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹84,918",65,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
37,MSI Bravo 15 B5DD-410IN Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹47,990",68,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB AMD Radeon RX 5500M,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
38,Lenovo IdeaPad Flex 5 82R9008GIN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),"₹61,100",74,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
39,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",71,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
40,Lenovo IdeaPad Slim 1 82R10049IN Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),"₹34,300",60,3rd Gen AMD Ryzen 3 3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
41,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹73,000",65,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris XE Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
42,Lenovo IdeaPad D330 82H0001YIN Laptop (Celeron N4020/ 4GB/ 128GB eMMC/ Win10),"₹22,999",49,Intel Celeron N4020 N4020 ,"Quad Core, 2 Threads",4 GB DDR4 RAM,128 GB Hard Disk,Intel UHD Graphics 600,"10.1 inches, 1200 x 800 pixels, Touch Screen",Windows 10 10 OS,1 Year Warranty
43,Infinix INBook X1 XL11 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹37,999",44,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
44,Realme Book Slim Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹39,990",61,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB LPDDR4x  RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1440 x 2160 pixels",Windows 10 OS,1 Year Warranty
45,Infinix Zero Book Series ZL12 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),"₹64,990",63,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows OS,1 Year Warranty
46,Asus VivoBook 15 X1500EA-EJ701W Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹56,799",63,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
47,HP 245 G8 62G68PA Laptop (AMD Ryzen 3  3250U/ 8GB/ 1TB HDD/ Win11 Home),"₹27,890",59,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
48,Lenovo IdeaPad Gaming 3 82K201YAIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹55,990",69,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
49,Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11),"₹53,000",69,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
50,Dell Inspiron 5320 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹84,918",65,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
51,HP Pavilion x360 14-ek0074TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹73,490",68,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
52,Lenovo IdeaPad Gaming 3 82K201UEIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,490",69,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
53,Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop (Ryzen 7-4800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹58,990",69,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 Max Q,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
54,Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop (AMD Ryzen 5 4600H/ 8GB / 512GB SSD/ Win11 Home / 4GB Graph),"₹54,990",69,4th Gen AMD Ryzen 5 4600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
55,HP Victus 15-fb0050AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹67,600",72,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
56,Lenovo IdeaPad Slim 5 82SF008YIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹72,490",66,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
57,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹62,990",69,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
58,Asus VivoBook 15 X1500EA-EJ322WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹35,325",41,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4  RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
59,HP 14s-dy5005TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹63,990",57,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
60,Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,300",54,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
61,Lenovo IdeaPad Slim 3 82RK0062IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹58,490",55,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,512 GB SSD,‎Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
62,MSI Thin GF63 11SC-852IN Gaming Laptop (11th Gen Core i7/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹64,000",73,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 MAX Q,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
63,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB/ MacOS),"₹1,07,990",48,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,8-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
64,Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹3,29,990",80,12th Gen Intel Core i7 1250U ,"10 Cores, 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Iris Xe Graphics,"17.3 inches, 2560 x 1920 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
65,Nokia PureBook S14 NKi511TL165S Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),"₹40,990",62,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14.1 inches, 1920 x 1080 pixels",Windows OS,1 Year Warranty
66,Dell Latitude 3420 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Pro),"₹73,740",56,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1366 x 768 pixels",Windows 10  OS,1 Year Warranty
67,Acer Aspire 3 A315-24 Laptop (Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),"₹52,490",56,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon Graphiics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
68,HP 14s-dq2649TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹45,500",57,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
69,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹67,990",60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
70,Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,49,990",73,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,‎Intel Iris Xe Graphics,"16 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
71,Samsung Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,39,990",72,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,‎Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
72,Samsung Galaxy Book 3 Pro 14 NP940XFG-KC5IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,55,990",74,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,1 TB SSD,‎Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
73,Samsung Galaxy Book 3 Pro 14 NP940XFG-KC1IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹1,31,990",71,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,‎Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
74,Samsung Galaxy Book 3 360 15 NP750QFG-KA2IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹1,14,990",71,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
75,Lenovo V15 ‎82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹38,490",60,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
76,Samsung Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹1,09,990",67,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
